один два три четыре пять шесть семь восемь девять
одна две три четыре пять шесть семь восемь девять
десять одинадцать двенадцать тринадцать четырнадцать пятнадцать шестнадцать семнадцать восемнадцать девятнадцать
двадцать тридцать сорок пятьдесят шестьдесят семьдесят восемьдесят девяноста
сто двесте триста четыреста пятьсот шестьсот семьсот восемьсот девятьсот
тысяча тысячи тысяч
миллион миллиона миллионов
миллиард миллиарда миллиардов
триллион триллиона триллионов
квадриллион квадриллиона квадриллионов
квинтиллион квинтиллиона квинтиллионов
секстиллион секстиллиона секстиллионов
септиллион септиллиона септиллионов
октиллион октиллиона октиллионов
нониллион нониллиона нониллионов
дециллион дециллиона дециллионов
